,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
63,FL,Florida,Fort Lauderdale,165528,21.9,22.3,14.7,33.2,74.8,6.4,8.6,82.8,6.5,75.5,87.8,73.9,7.5,33.9,33.5,17.9,59.9,17.0,11.3,17.1,32.2,3.2,26.1,81.1,15.0,30.1,11.4,37.2,3.5,13.3
64,FL,Florida,Fort White,568,23.5,27.4,14.4,38.7,74.3,6.6,10.1,80.3,7.5,78.0,86.0,71.0,9.7,34.7,28.2,22.9,48.1,21.3,12.9,20.4,33.0,3.6,30.9,74.9,17.4,35.8,13.9,38.1,4.1,19.0
65,FL,Florida,Memphis,8257,29.2,25.3,13.7,37.0,76.9,6.2,9.6,79.8,7.2,77.2,86.3,71.2,8.7,32.5,36.0,21.0,52.4,18.2,14.2,21.0,31.4,3.6,30.6,76.4,16.0,36.4,13.5,38.2,4.3,20.1
66,FL,Florida,Miami Gardens,107042,29.3,22.8,12.0,39.3,75.1,4.8,10.6,79.9,6.3,79.5,85.9,70.7,7.8,26.8,24.4,21.9,48.9,16.1,15.6,24.5,28.4,3.8,37.4,78.5,18.0,35.8,14.2,44.8,4.6,22.3
67,FL,Florida,North Miami Beach,42521,27.7,20.7,13.4,33.2,73.4,5.0,9.2,79.5,5.8,76.7,85.7,68.9,6.7,31.7,27.0,18.1,55.1,16.1,13.0,20.1,28.7,3.2,32.9,76.7,16.5,31.2,12.5,39.8,3.5,16.2
68,FL,Florida,South Patrick Shores,5881,13.5,24.4,15.0,32.4,77.2,8.4,8.2,84.5,6.9,77.0,89.5,72.8,6.8,42.1,37.1,12.5,69.4,18.0,9.9,11.6,34.0,2.9,20.0,76.8,12.9,29.1,9.5,30.1,3.0,9.0
69,FL,Florida,West Samoset,5583,41.8,22.5,14.3,33.3,70.7,4.8,10.1,75.7,7.0,73.5,80.1,62.7,9.6,28.0,28.8,26.1,40.9,20.2,13.4,26.8,28.6,3.6,37.7,74.4,19.1,38.3,15.8,39.6,4.2,27.8
366,FL,Florida,Freeport,1924,21.5,23.8,17.5,32.4,70.3,5.8,9.2,80.3,6.0,70.6,83.8,68.8,8.4,36.9,37.0,23.1,55.5,21.4,10.1,16.7,30.3,2.7,27.0,73.6,17.6,31.2,12.2,37.3,3.0,15.2
369,FL,Florida,Palm Springs,23459,35.5,19.3,15.0,30.0,70.4,5.0,8.7,78.0,6.2,71.8,83.8,68.7,7.7,34.5,37.0,20.3,53.7,18.1,12.0,20.7,29.3,3.2,31.9,77.6,16.7,30.1,12.9,36.7,3.2,19.6
370,FL,Florida,Mexico Beach,1072,14.0,30.7,13.7,38.3,79.9,10.0,8.3,82.6,8.5,78.7,91.2,76.8,8.5,49.1,39.0,14.9,66.1,19.1,11.9,13.9,37.9,3.4,23.6,75.9,12.8,27.2,11.4,29.6,3.6,10.1
371,FL,Florida,Apalachicola,2231,22.2,27.7,13.4,39.9,77.5,7.6,9.4,79.6,7.9,77.9,87.0,70.6,9.7,39.5,36.9,19.1,53.8,19.1,13.1,19.0,35.1,3.7,28.1,76.5,16.1,37.9,13.3,34.0,4.3,16.0
381,FL,Florida,Coral Gables,46769,19.6,16.4,14.9,24.6,71.9,5.6,7.3,83.3,4.5,75.2,86.7,75.6,3.8,40.5,33.9,9.1,70.4,14.8,8.7,11.3,28.1,2.4,22.1,78.0,13.3,23.0,8.0,30.8,1.9,6.0
387,FL,Florida,Willow Oak,6732,30.9,21.5,16.5,31.0,68.9,4.6,9.7,75.7,6.0,70.2,80.1,65.9,8.9,34.4,32.2,24.1,45.2,21.8,10.8,21.6,30.2,2.9,31.4,76.0,18.6,38.3,13.9,35.5,3.2,22.5
395,FL,Florida,Paxton,644,22.5,30.6,15.1,39.7,76.1,7.4,9.8,78.4,9.1,73.5,84.3,67.7,12.2,35.2,34.5,26.1,50.5,22.0,13.5,21.9,35.1,3.8,32.2,72.4,18.1,32.8,15.5,37.7,4.5,20.2
397,FL,Florida,Crawfordville,3702,19.9,21.7,17.1,30.5,70.9,6.0,8.9,80.9,5.6,73.0,85.6,72.7,7.3,43.3,36.9,21.2,59.2,21.1,8.8,14.5,30.0,2.6,25.0,73.6,16.9,31.7,10.8,36.1,2.8,14.9
400,FL,Florida,Berrydale,441,24.9,22.3,18.5,34.4,65.6,5.2,8.7,75.8,6.0,70.1,81.8,70.4,8.5,46.6,38.8,27.4,48.7,19.5,9.7,17.3,29.6,2.7,30.1,71.9,17.9,34.3,12.0,38.4,3.1,18.9
401,FL,Florida,Miramar Beach,6146,13.1,28.4,14.5,36.6,78.7,9.3,7.8,84.7,7.3,76.1,90.9,76.9,7.1,45.4,42.3,12.7,69.6,17.4,10.5,12.0,35.8,3.1,20.5,76.2,12.4,26.1,9.8,31.3,3.1,8.0
407,FL,Florida,Westwood Lakes,11838,34.8,21.5,12.8,32.1,76.7,5.7,7.4,79.4,7.1,75.6,86.6,68.9,6.0,29.2,26.1,13.5,57.2,14.5,15.3,21.8,32.4,3.8,35.7,74.6,14.0,29.5,12.9,34.0,3.3,13.0
414,FL,Florida,Heritage Pines,2124,12.3,45.0,7.4,51.1,88.3,15.1,7.8,78.7,14.3,85.6,96.0,79.3,14.0,38.9,38.8,14.9,63.7,18.4,18.0,19.4,48.8,5.4,28.0,72.1,10.4,28.5,14.6,28.1,5.9,12.2
416,FL,Florida,Century,1698,26.4,32.5,11.3,45.5,79.2,7.4,10.6,78.1,8.8,81.6,87.2,70.6,11.2,34.8,29.0,24.0,47.4,20.7,15.9,24.9,34.2,4.4,34.7,76.9,17.4,40.0,15.7,39.8,5.6,23.1
422,FL,Florida,Fernandina Beach,11630,16.5,28.9,14.1,37.3,79.5,8.5,8.6,82.6,7.5,77.9,89.7,76.5,8.6,51.7,41.1,15.8,62.6,18.7,11.9,15.3,36.6,3.4,22.6,76.6,14.1,30.6,11.6,30.0,3.7,12.2
430,FL,Florida,Sweetwater,20243,41.7,20.6,12.7,31.5,74.4,4.8,7.9,77.2,6.9,74.1,84.1,64.3,6.3,25.6,22.9,16.2,50.5,15.3,16.4,26.4,31.5,4.0,40.6,74.7,15.5,31.7,14.7,35.7,3.4,16.6
431,FL,Florida,Boynton Beach,68217,23.3,24.0,13.6,35.5,76.2,7.5,8.8,81.0,7.7,76.6,88.2,74.8,8.6,41.2,41.1,17.9,61.5,17.2,12.0,17.3,32.2,3.5,26.7,78.5,14.8,27.6,11.9,35.7,3.9,16.0
439,FL,Florida,Floridatown,244,20.0,28.1,15.9,37.1,73.5,6.9,9.4,76.5,7.7,72.9,84.0,65.2,10.6,47.3,37.0,25.5,51.8,21.9,11.4,18.7,33.9,3.4,31.0,73.7,18.5,32.8,13.9,35.6,3.8,19.2
442,FL,Florida,Horseshoe Beach,169,20.6,41.1,10.8,50.4,85.3,10.7,9.8,76.0,14.2,79.4,89.8,72.5,18.1,35.9,27.6,26.2,45.6,22.1,19.0,28.4,45.3,5.5,37.6,72.5,15.6,38.9,19.8,35.0,6.8,24.1
