stateabbr,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
US,16.4,22.25,17.05,30.89,71.91,5.79,9.93,81.26,5.76,72.75,85.09,68.2,6.3,42.54,36.21,16.4,61.77,20.08,10.36,15.44,30.76,2.84,24.05,75.91,15.14,32.15,10.36,33.7,2.98,14.0
AK,14.0,19.78,20.58,29.42,62.6,5.13,9.68,77.68,4.87,62.17,79.27,64.11,5.2,37.01,30.54,18.74,61.66,17.77,7.8,12.43,29.1,2.32,20.92,66.83,13.1,31.26,9.18,31.98,2.55,13.82
AL,17.01,29.88,14.35,40.61,77.12,6.25,10.18,83.51,7.02,76.43,87.7,73.09,8.31,43.45,38.29,19.01,59.85,24.67,13.11,20.18,33.64,3.31,28.64,78.96,16.59,39.33,12.05,38.84,3.81,17.19
AR,16.15,25.03,15.01,37.65,75.26,6.22,10.41,80.11,7.14,76.7,83.65,69.45,8.27,42.38,37.05,21.02,56.1,24.26,11.74,20.27,34.78,3.21,30.26,75.03,16.93,37.21,12.94,34.57,3.58,19.24
AZ,18.69,21.33,16.08,30.17,70.02,5.89,10.54,79.56,5.73,70.12,83.89,66.04,6.24,43.54,35.42,16.25,59.27,19.98,9.92,15.43,31.57,3.02,22.91,72.19,15.26,30.8,10.55,32.77,2.83,13.59
CA,15.1,18.68,17.82,26.55,67.15,5.11,9.49,80.74,5.02,65.18,85.46,59.15,5.29,36.83,29.54,11.91,61.79,16.91,9.62,15.33,28.91,2.63,21.46,73.01,14.83,28.97,9.95,32.53,2.59,11.35
CO,14.57,19.92,19.07,24.47,65.39,5.67,9.93,82.79,4.62,65.91,84.48,69.76,5.02,48.87,39.98,14.28,65.03,19.96,7.55,11.13,28.09,2.39,17.51,71.14,14.18,25.06,8.7,28.37,2.34,11.33
CT,12.45,22.48,15.82,29.79,74.67,6.26,10.75,84.97,5.69,75.91,87.74,74.66,5.9,48.04,40.31,15.68,67.22,20.01,9.51,13.36,31.15,2.7,22.23,80.15,14.7,30.51,9.66,34.68,2.81,11.98
DC,7.7,16.8,21.6,28.5,70.6,4.9,10.6,84.5,4.0,69.1,89.2,77.7,3.9,46.4,40.3,13.1,65.9,20.3,7.7,11.1,26.3,2.5,17.4,80.3,15.3,23.9,7.4,32.0,2.9,11.1
DE,14.93,22.26,16.01,33.46,73.46,5.91,10.86,80.54,5.9,75.09,86.22,72.17,6.42,41.78,36.71,16.89,61.36,18.19,10.93,14.74,30.64,2.89,25.5,78.13,14.48,35.82,10.34,34.89,3.04,13.18
FL,23.68,23.45,14.79,33.26,74.22,6.47,8.78,80.51,6.76,75.04,86.74,71.43,7.73,37.87,34.39,17.85,57.78,18.08,11.7,17.68,31.65,3.25,27.77,76.67,15.44,30.85,11.9,34.82,3.47,15.14
GA,21.89,22.83,15.72,34.5,72.92,5.26,10.15,81.95,5.82,75.86,86.32,69.79,6.37,45.62,37.9,18.17,56.99,19.28,11.64,16.94,30.05,3.03,26.65,78.21,16.21,35.17,10.77,37.66,3.31,17.7
HI,9.86,19.03,16.41,28.93,71.69,5.12,8.73,78.54,4.65,77.99,82.95,71.51,4.14,34.86,33.39,12.87,72.06,14.34,9.92,12.08,29.4,2.49,19.9,79.27,12.01,23.43,7.86,40.25,2.79,7.15
IA,10.0,23.26,22.08,30.91,74.96,6.57,9.47,82.34,6.17,74.84,83.77,71.9,6.39,44.69,40.23,16.79,66.52,18.1,9.52,12.92,31.28,2.77,23.71,77.87,13.91,36.18,9.33,30.33,2.9,12.96
ID,16.45,21.11,15.98,28.59,67.64,5.87,9.98,78.47,5.7,69.75,79.35,65.36,5.93,39.51,37.17,16.3,64.82,20.45,8.84,13.4,28.98,2.68,21.33,71.43,14.31,32.0,10.34,30.2,2.76,14.44
IL,13.27,22.21,14.82,30.28,71.34,5.82,9.6,80.34,5.38,75.69,85.66,66.69,5.8,41.83,37.02,15.57,63.6,15.91,9.7,14.28,29.87,2.7,25.12,77.97,12.57,32.4,9.14,32.96,2.85,13.82
IN,14.8,24.68,16.49,33.74,75.55,6.12,10.47,80.71,6.49,74.46,83.76,68.27,8.0,43.1,35.58,21.24,59.99,23.2,11.18,17.08,31.4,2.99,27.49,73.51,16.3,37.44,11.46,34.87,3.22,17.89
KS,15.9,22.42,17.67,32.17,72.62,6.12,9.64,82.53,5.9,73.17,83.42,66.89,6.0,44.38,39.18,17.72,65.42,19.39,10.25,13.62,32.76,2.75,22.69,74.51,14.29,35.27,9.56,32.34,2.8,13.4
KY,10.89,28.35,15.82,38.5,75.82,6.21,11.31,81.44,6.82,76.35,89.37,72.7,9.22,46.1,39.67,21.22,56.98,25.32,11.17,19.24,34.08,3.02,29.95,74.37,18.16,36.97,13.17,36.7,3.34,17.64
LA,15.67,24.81,19.22,38.97,75.2,5.81,9.93,81.53,6.8,78.2,86.38,69.61,7.72,38.4,35.83,20.95,54.56,24.63,13.51,20.36,33.92,3.39,31.42,80.78,17.95,38.36,12.7,37.93,3.98,18.86
MA,8.02,22.77,17.0,27.27,73.1,6.29,10.94,83.75,5.33,77.33,87.32,77.84,5.37,51.4,41.77,13.76,70.04,19.4,8.32,12.04,28.35,2.6,21.06,82.1,14.45,25.32,8.77,31.65,2.63,12.88
MD,11.83,21.65,14.35,33.28,74.36,5.81,9.8,84.41,4.99,76.18,89.27,72.75,5.08,47.99,42.44,13.79,64.03,17.41,9.94,12.44,31.66,2.61,21.36,77.9,13.83,31.55,8.15,34.74,2.8,10.55
ME,12.37,26.31,15.31,32.01,71.72,7.13,11.04,82.93,6.87,78.38,85.35,77.15,8.08,50.1,38.37,17.04,64.92,23.56,9.22,12.8,31.23,2.99,22.3,78.26,14.2,30.89,9.68,31.23,3.08,17.02
MI,11.08,28.21,18.17,34.07,73.33,6.23,12.08,83.36,6.44,75.18,87.76,73.19,7.69,44.03,37.93,20.21,65.03,20.99,11.72,16.93,33.11,3.15,23.16,76.86,17.35,37.68,11.53,35.9,3.54,14.87
MN,10.99,20.42,20.25,26.77,71.51,6.11,9.05,82.15,5.22,69.24,84.31,73.68,4.66,47.67,41.32,15.91,67.71,22.34,8.09,10.89,27.88,2.47,18.91,77.29,13.58,31.29,8.32,27.5,2.58,9.66
